"gene" "baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Ckmt1"	44621.8312340928	0.220343823189856	0.163149658092562	1.35056258018539	0.176835594429933	0.406135671848194
"Bcl6b"	271.672806001184	-0.000404847528321152	0.17795831109301	-0.00227495712807455	0.998184848396719	0.999150697696937
"Clec10a"	9.10918496202184	-1.17942792854623	0.556787431941988	-2.11827325992716	0.0341519318958678	NA
"Alox12"	142.574599070288	0.157785431684008	0.130595541188055	1.20819922524613	0.226970639722912	0.470545975313437
"Arvcf"	949.832536924866	0.162927216858405	0.136743411107654	1.19148129726073	0.233464694548193	0.478477744450184
"Comt"	2274.36150235919	-0.11166762904311	0.0905260570717661	-1.23354128805791	0.217373882447121	0.457092220366579
"Rtca"	2440.39837360521	0.142928544963977	0.122392977681599	1.16778386857946	0.242893956622147	0.489972183757499
"Dbt"	2297.20630821128	-0.52040316279291	0.0954713859911049	-5.45088098795796	5.01209046536555e-08	1.28216985012459e-05
"Dazap2"	10976.8617396958	-0.221621210327955	0.0673508321814101	-3.29054895314458	0.000999921018674337	0.0148585225187818
"Mcts1"	1521.04013665259	-0.110310025498622	0.067456341267971	-1.63528029278099	0.101990302877199	0.291842153887811
"Rem1"	45.3666178893989	0.481236455192369	0.415767420656811	1.15746552347015	0.24708221717486	0.494850934242905
"Rnf17"	37.1056032262277	0.282907564975684	0.278747886789632	1.01492272545618	0.31014266440077	NA
"Trappc10"	12485.0261425699	0.0331027655483485	0.0834958087541909	0.396460206114081	0.691765558772984	0.848649818968766
"Ccm2"	1718.27828534084	-0.0553024812671794	0.0836295211131013	-0.661279420605408	0.508433136594937	0.731332001325805
"Wap"	11.4727564069474	0.203941509296016	0.4044973789435	0.504184995780906	0.614131383146137	NA
"Tbrg4"	6602.72127881372	-0.0652046849155861	0.0549985896017892	-1.18557012802861	0.235792104905188	0.481348630434844
"Tmprss2"	29988.9655468442	-0.117387674448668	0.113152291261141	-1.03743082124384	0.299535120477639	0.548348365252047
