"gene" "baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Mapk7"	1390.29308319968	0.102276662175709	0.119622030985358	0.854998542770333	0.392551954479214	0.636504524532459
"Epn2"	1970.49528528323	0.00923894384321864	0.0827943719330374	0.111589032291844	0.911149268668273	0.961779753654673
"B9d1"	208.553717678977	-0.203217966602162	0.146977712016257	-1.38264478208563	0.166773810679681	0.392959462091786
"Sec24b"	4157.58584475109	0.167204001135649	0.0669055436051505	2.49910533755498	0.0124507295729239	0.0779776765870355
"N4bp3"	563.475667874562	-0.174628746999821	0.135494786943151	-1.28882262513235	0.197459758445158	0.431793906289595
"Rmnd5b"	1631.17982602571	-0.0686516685249648	0.0742127095045591	-0.925066191266703	0.354931477935804	0.602724113753269
"Nhp2"	1513.8741401535	-0.341523788434297	0.121051338520961	-2.82131360633538	0.0047827422238675	0.0411207020157543
"Vps9d1"	1713.38521197908	0.167841589633076	0.0928781143795628	1.80711667925516	0.0707440885552098	0.233676776888168
"Zfp276"	3158.04851815087	0.102216561209199	0.121898264132264	0.838539924557827	0.401727534682013	0.644718217034313
"C1ql4"	9.50595689383118	0.0307368810743677	0.446195348908535	0.0688866012376755	0.945079883846122	NA
"Mfsd10"	1652.01833637645	-0.0156280072722206	0.130040630794105	-0.120177879611832	0.904342240274801	0.958126060189971
"Luzp1"	16189.1421577183	0.241615146169532	0.0973453249551982	2.48204160066991	0.0130632023566515	0.0805732976142814
"Slc13a2"	4951.36335568895	0.207216210103445	0.178175372245967	1.16299019045903	0.244833482436394	0.492272206282028
"Kctd10"	9499.35718589226	0.015769863881352	0.0974856584193374	0.161765988321251	0.871490137606373	0.94555935890031
"Poldip2"	3873.64721437874	-0.144881600293924	0.0561160416679315	-2.58182145403743	0.00982804160237067	0.0667771782937214
"Sebox"	26.004162706077	-0.00621881009820087	0.267369822838405	-0.0232592071617576	0.981443510872264	NA
