"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tssk3"	20.1890065242376	0.27822785081165	0.365836205523547	0.76052573969129	0.446940389491453	NA
"Cttnbp2"	1479.88708066559	0.310871964980559	0.192011343844207	1.61902916128118	0.105440988912235	0.27832229229234
"Galnt1"	11949.3757170913	-0.225164333921914	0.157636261758283	-1.42837905067286	0.15318278568398	0.340290107999298
"Mkrn2"	3466.70737257219	-0.12344637213752	0.100073214165147	-1.23356058029477	0.217366689597147	0.412448025798478
"Pparg"	3592.02326126188	0.28822825852578	0.211489280332513	1.36285043890931	0.172929651041615	0.363510351399179
"Raf1"	10868.0508099104	-0.197042294398179	0.105839530561119	-1.86170793987406	0.0626442688134167	0.210550946953832
"Sept1"	148.529645051677	0.304631412358078	0.223193575110322	1.3648753652855	0.172292226178766	0.362940814708994
"Pdgfb"	428.202736708213	-0.268338182103396	0.275678966184464	-0.973371983424531	0.330368458056392	0.528558914868164
"Acvrl1"	800.098071856771	0.38891434122796	0.230182104388783	1.68959416832455	0.0911056223880605	0.258464479751042
"Grasp"	281.248556481565	-0.0893748404379512	0.180926737666721	-0.493983595739096	0.621317764770905	0.765800983381417
"Acvr1b"	10223.106051873	-0.0337377137483289	0.160550736247915	-0.210137396668382	0.83356043871481	0.908903098378838
"Tom1l2"	4526.3084840413	0.215292606724986	0.149318141486864	1.44183824270225	0.149348011594538	0.335921136697916
"Gpa33"	43305.3143023899	-0.333630091260636	0.200416596864406	-1.66468294782171	0.0959760267830055	0.265220770026416
"Zfp385a"	27.2287084868033	0.110166452781262	0.348579543848486	0.31604394097534	0.751969156025767	NA
"Itga5"	927.128275620686	0.143347284346955	0.280222531710753	0.511548031030278	0.608967364834013	0.756848144866114
"Gabra2"	390.100142170676	0.280433673532702	0.352856346389854	0.794753095422192	0.426757140148025	0.612997438508703
"Wdr77"	4547.38052964804	-0.439730455827969	0.220405976332222	-1.99509316011085	0.0460327202258557	0.179522850966618
"Adora3"	312.671615744838	0.618380797532064	0.19600103259482	3.15498744749168	0.00160505010790464	0.0338635871923642
"Atp5f1"	17010.0868546072	-0.457715606862447	0.142043245463357	-3.22236798637865	0.00127135736971452	0.0307443996313218
"Sox9"	3076.13751710776	-0.111154034761332	0.186595585084386	-0.595694880514259	0.551379078876551	0.712834060985954
"Hnrnpd"	5925.19871793065	-0.134276971724596	0.160151407270059	-0.838437663542774	0.401784943931668	0.592511702792615
"Dynlt1c"	2183.53754126176	0.322621190583597	0.127784787059702	2.52472299721301	0.0115789516992146	0.0892854729155017
"C1d"	1614.55542327466	-0.298977832985144	0.133922442736151	-2.2324699794655	0.0255839172065638	0.132086759654827
"Gm2a"	1681.33804565538	-0.181533531758702	0.253885082706227	-0.71502244174289	0.474595176294198	0.65315067682123
"Krit1"	7635.51969280344	0.269896782473848	0.113666089439499	2.3744705549803	0.017574137851872	0.109358014692046
"Clcn4"	6847.16881271177	-0.0819797870013279	0.108692962357794	-0.754232704887256	0.450709502644013	0.634270656569952
"Vmn2r88"	437.921986907091	0.132381154130062	0.351801333783455	0.376295202483647	0.706697445530624	0.82726778342681
"Grm6"	23.4377967037201	0.131159629137131	0.438313124559814	0.299237284461539	0.764759002956809	NA
"Sema4f"	65.8082882362838	0.495314820306082	0.27935808419874	1.77304630981685	0.0762210334921418	0.236527719067921
"Hk2"	28028.0900042874	-0.831192887681563	0.376304596613748	-2.20883001473067	0.0271864665166636	0.136232212330091
"Myo18a"	20519.1988231483	0.155403475287914	0.191185483837692	0.812841394484973	0.416308998962014	0.604537537776014
"Sez6"	65.9347686264099	0.774162252186832	0.326415838387522	2.37170553981435	0.0177061954373818	0.109618249314719
"Haao"	177.22582228435	0.157374883597134	0.26114185151774	0.602641371662494	0.546747291675091	0.709986925773152
"Cd52"	212.688693353488	0.202293147594906	0.288084827752424	0.702199935946485	0.48255448556009	0.659567544277421
"Abhd15"	70.8700959395892	0.435597082918626	0.265532766061309	1.64046452488674	0.100908618700517	0.272081561112
"Hoxb6"	367.715422021909	2.44967604195628	0.65540801882429	3.73763513963509	NA	NA
"Loxl3"	140.89039602306	0.403885995891224	0.309354926715217	1.30557479778892	0.191697195436439	0.385461117052161
"Btn1a1"	97.2721612721718	0.208180504484981	0.37595586425602	0.553736553350353	0.579759155175457	0.734668009674367
"Kat2b"	3955.78145582215	-0.276098656411863	0.121822675037252	-2.26639791260071	0.0234270312901514	0.126144991004954
"Rab5b"	6154.96472626589	-0.19719817322002	0.131810741102498	-1.49607059007942	0.134635260938046	0.317514823712226
"Cryba1"	155.04007212055	0.319222025980208	0.197103982079097	1.61956152591634	0.105326499926879	0.278147677564283
"Dnmt3l"	2.77410305308242	-2.75770098149601	1.4227859839327	-1.9382401939844	0.0525939250840932	NA
"Aire"	209.69012264982	0.454700716972107	0.277078390611267	1.6410544177371	0.100786119590916	0.271959781427121
"Icosl"	1635.12890160297	-0.118703454141702	0.11461019705046	-1.03571459779831	0.300335310037972	0.498288174645412
"Spg7"	7038.3006355507	0.0143783705465242	0.108131429986008	0.132971242018946	0.89421612404534	0.941615258625397
"Sult5a1"	402.659472229264	0.471175161210263	0.197359658971853	2.38739347070649	0.0169683196543945	0.107495083373876
"Rpl13"	27503.4691338946	-0.408207689496525	0.213140676671481	-1.91520312251661	0.0554666044390042	0.198614393783557
